country	gdp_nom	gdp_ppp	gdp_nom_cap_USD	gdp_ppp_capita
AT	433258	0	48557	55686
BE	521861	1	45203	53089
BG	69889	2	10079	24564
CH	752248	3	87100	71745
CY	24612	4	27527	39373
CZ	245339	5	22933	41608
DE	3846413	6	46252	54844
DK	356084	7	61063	60229
EE	30650	8	23054	37645
ES	1281484	9	27056	37756
FI	269594	10	48755	50517
FR	2630317	11	39037	46991
GB	2759804	12	41059	46482
GR	188835	13	17647	27948
HR	57203	14	14132	28780
HU	155808	15	15980	33075
IE	425888	16	85422	93350
IS	21718	17	59264	53616
IT	1888709	18	31770	41902
LT	56546	19	20232	38880
LU	73353	20	116356	117846
LV	33707	21	17736	31482
MT	14647	22	28423	42461
NL	913865	23	52396	59266
NO	362198	24	67329	62644
PL	596624	25	15742	34287
PT	228539	26	22194	34177
RO	248715	27	12915	32099
SE	541220	28	52274	55037
SI	53589	29	25489	39725
SK	105172	30	19266	31356
