country	population	source
AT	8932664	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
BE	11554767	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
BG	6916548	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
CH	8670300	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
CY	896007	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
CZ	10701777	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
DE	83155031	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
DK	5840045	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
EE	1330068	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
ES	47398695	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
FI	5533793	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
FR	67656682	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
GB	67081000	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates
GR	10678632	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
HR	4036355	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
HU	9730772	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
IE	5006324	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
IS	368792	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
IT	59236213	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
LT	2795680	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
LU	634730	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
LV	1893223	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
MT	516100	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
NL	17475415	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
NO	5391369	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
PL	37840001	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
PT	10298252	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
RO	19201662	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
SE	10379295	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
SI	2108977	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
SK	5459781	https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
